Species,Cladename,wing_length,tail_length,tarsus_length,middle_toe_length,bill_length,bill_width,bill_depth
Telophorus nigrifrons,core_Corvoidea,90.0,85.0,23.5,14.9,17.1,9.6,8.0
Telophorus quadricolor,core_Corvoidea,84.0,91.0,27.8,18.6,23.1,9.1,7.9
Telophorus zeylonus,core_Corvoidea,102.0,100.0,33.6,21.8,27.7,11.5,10.6
Tephrodornis gularis,core_Corvoidea,102.0,63.0,16.6,10.9,25.6,8.9,7.3
Terpsiphone paradisi,core_Corvoidea,93.0,227.0,16.9,10.5,23.6,8.7,6.1
Terpsiphone viridis,core_Corvoidea,79.6,150.1,13.9,8.8,18.9,7.8,4.9
Trochocercus nitens,core_Corvoidea,64.4,65.3,14.8,8.6,15.7,6.7,3.4
Urocissa flavirostris,core_Corvoidea,184.0,246.0,45.1,29.8,34.5,15.6,14.3
Urolestes melanoleucus,core_Corvoidea,131.0,225.0,33.4,22.9,22.3,13.7,12.1
Vanga curvirostris,core_Corvoidea,114.0,109.0,30.1,22.8,32.7,13.2,11.6
Vireo altiloquus,core_Corvoidea,78.0,54.0,18.3,11.0,22.4,5.6,6.8
Vireo flavifrons,core_Corvoidea,76.0,50.0,19.3,11.5,15.7,5.0,5.0
Vireo flavoviridis,core_Corvoidea,77.0,53.0,18.7,10.8,17.6,7.5,5.2
Vireo gilvus,core_Corvoidea,67.0,47.0,17.5,11.3,14.5,6.4,4.6
Vireo griseus,core_Corvoidea,62.0,49.0,19.4,10.3,14.3,4.3,4.0
Vireo modestus,core_Corvoidea,56.0,49.0,18.7,10.5,12.5,7.0,4.5
Vireo olivaceus,core_Corvoidea,72.7,50.0,17.7,11.0,17.3,6.3,4.7
Vireo osburni,core_Corvoidea,72.0,58.0,21.0,14.0,17.0,8.5,7.2
Vireo philadelphicus,core_Corvoidea,66.0,45.0,17.1,9.9,14.0,6.3,4.4
Vireo solitarius,core_Corvoidea,73.0,52.0,18.7,11.2,13.3,6.4,5.4
Vireolanius leucotis,core_Corvoidea,77.0,57.0,21.2,13.2,21.2,9.7,7.6
Vireolanius pulchellus,core_Corvoidea,70.0,45.0,21.5,12.5,20.1,9.1,7.5
Abroscopus albogularis,Passerida,53.5,70.5,20.0,11.4,12.8,5.3,3.8
Acridotheres cristatellus,Passerida,136.0,83.0,39.9,30.1,28.1,14.4,11.4
Acridotheres fuscus,Passerida,124.3,76.3,37.1,29.7,26.7,10.7,8.6
Acridotheres tristis,Passerida,145.7,96.0,40.9,29.5,28.6,13.1,11.0
Acrocephalus aedon,Passerida,86.0,86.0,28.4,16.0,19.9,7.9,6.7
Acrocephalus agricola,Passerida,60.0,57.0,22.9,13.1,15.6,4.2,3.6
Acrocephalus arundinaceus,Passerida,96.0,80.0,29.1,17.7,23.0,9.1,6.3
Acrocephalus baeticatus,Passerida,59.0,50.0,21.4,12.6,16.3,5.0,3.6
Acrocephalus familiaris,Passerida,61.0,56.0,23.6,13.3,18.8,5.5,4.3
Acrocephalus griseldis,Passerida,81.0,59.0,24.2,14.6,21.3,6.8,4.9
Aegithalos caudatus,Passerida,62.5,87.0,17.4,9.4,7.7,4.2,3.9
Aegithalos concinnus,Passerida,52.5,47.0,16.5,11.1,8.5,4.1,3.5
Aegithalos iouschistos,Passerida,58.0,48.0,17.1,9.8,8.2,4.2,3.3
Aegithalos niveogularis,Passerida,91.0,53.0,17.4,11.0,8.8,3.9,3.6
Agelaius phoeniceus,Passerida,113.0,83.5,28.3,19.6,22.1,8.6,10.7
Agelasticus cyanopus,Passerida,90.5,78.0,25.1,18.4,25.3,9.1,8.3
Aimophila carpalis,Passerida,64.0,62.0,19.4,13.3,13.0,6.1,6.6
Alaemon alaudipes,Passerida,125.0,90.0,31.0,15.9,31.2,9.3,7.4
Alauda arvensis,Passerida,104.0,62.5,25.1,17.2,14.8,6.6,5.8
Alcippe brunneicauda,Passerida,71.0,58.0,19.9,9.7,14.5,4.8,4.1
Alethe diademata,Passerida,90.0,69.2,22.8,13.7,19.7,6.5,5.4
Alethe poliocephala,Passerida,89.7,55.0,25.0,14.6,20.0,6.4,5.3
Alophoixus bres,Passerida,108.0,87.0,20.4,11.2,22.6,8.6,7.5
Alophoixus phaeocephalus,Passerida,94.0,77.0,19.4,10.9,20.6,8.1,6.4
Alopochelidon fucata,Passerida,98.0,36.0,9.2,9.7,9.4,6.6,3.4
Amalocichla incerta,Passerida,83.0,55.0,37.7,22.0,20.9,9.1,6.7
Amalocichla sclateriana,Passerida,101.0,71.5,47.1,27.9,29.0,10.8,9.3
Amandava amandava,Passerida,45.5,36.5,13.7,13.3,10.6,6.2,6.3
Amandava subflava,Passerida,43.0,32.0,12.5,10.7,9.0,5.4,5.9
Amblycercus holosericeus,Passerida,104.0,104.0,32.5,21.0,31.4,11.7,14.2
Amblyospiza albifrons,Passerida,96.0,69.0,23.0,20.9,24.7,15.4,17.5
Ammodramus savannarum,Passerida,57.0,40.0,20.0,15.2,13.0,7.3,7.1
Ammomanes deserti,Passerida,103.0,67.0,21.6,14.9,15.9,7.7,7.4
Ammomanes grayi,Passerida,83.0,48.0,21.4,13.5,15.4,6.6,5.6
Amphispiza bilineata,Passerida,64.0,62.0,18.7,12.8,12.4,7.1,7.0
Anaplectes rubriceps,Passerida,80.0,46.0,19.0,13.7,20.0,8.7,8.3
Andropadus ansorgei,Passerida,72.5,62.5,18.8,11.5,15.8,8.1,5.5
Andropadus curvirostris,Passerida,77.9,68.5,18.9,11.7,15.9,7.0,5.3
Andropadus gracilis,Passerida,71.0,60.8,16.8,9.3,15.1,5.6,4.0
Andropadus importunus,Passerida,87.5,81.0,20.5,14.5,18.5,8.1,6.3
Andropadus latirostris,Passerida,86.0,79.0,21.3,13.8,17.3,8.6,6.2
Andropadus masukuensis,Passerida,81.5,77.8,21.1,13.9,15.4,8.1,5.5
Andropadus milanjensis,Passerida,91.8,84.0,23.9,15.8,20.4,10.0,6.8
Andropadus nigriceps,Passerida,90.8,81.5,25.1,16.1,18.5,8.9,6.2
Andropadus tephrolaemus,Passerida,86.5,77.0,23.8,15.9,19.6,9.1,6.9
Andropadus virens,Passerida,76.5,66.0,20.4,12.5,15.4,7.8,5.7
Anomalospiza imberbis,Passerida,69.0,36.0,18.1,16.9,13.4,8.0,9.8
Anthoscopus musculus,Passerida,52.8,25.8,13.0,9.8,8.6,3.8,3.5
Anthreptes collaris,Passerida,49.5,27.5,14.4,7.6,16.3,4.5,3.6
Anthreptes fraseri,Passerida,65.8,44.1,14.4,8.6,19.5,4.4,4.2
Anthreptes malacensis,Passerida,64.0,41.0,15.4,9.1,19.5,5.0,3.8
Anthreptes simplex,Passerida,60.0,46.0,14.5,8.4,16.2,4.8,3.3
Anthreptes singalensis,Passerida,53.0,39.0,15.0,7.0,15.5,4.1,3.4
Anthus berthelotii,Passerida,77.0,54.0,22.2,16.0,15.6,5.7,4.5
Anthus bogotensis,Passerida,84.0,59.0,23.6,18.2,15.0,7.9,5.7
Anthus caffer,Passerida,68.5,43.0,17.5,13.1,13.4,5.6,4.3
Anthus campestris,Passerida,93.5,67.0,25.9,17.0,18.5,6.8,5.6
Anthus cervinus,Passerida,86.0,58.0,21.0,15.5,14.9,5.7,4.1
Anthus correndera,Passerida,81.0,57.0,23.9,19.1,15.8,6.2,4.9
Anthus furcatus,Passerida,79.0,55.0,21.7,15.3,13.7,5.7,4.4
Anthus godlewskii,Passerida,88.0,64.0,26.1,18.3,16.9,6.8,5.1
Anthus hellmayri,Passerida,73.5,57.0,22.8,17.2,14.7,5.9,4.2
Anthus hodgsoni,Passerida,78.0,56.0,21.8,16.1,14.7,6.0,5.3
Anthus hoeschi,Passerida,82.0,53.0,26.2,17.9,17.4,7.3,5.7
Anthus leucophrys,Passerida,98.0,65.0,26.7,17.4,18.0,7.0,5.4
Anthus lineiventris,Passerida,85.0,64.0,27.9,19.8,18.7,7.5,5.5
Anthus lutescens,Passerida,63.7,42.7,19.9,15.6,14.2,5.8,4.0
Anthus novaeseelandiae,Passerida,85.5,59.0,26.1,17.8,18.6,6.9,5.5
Anthus pratensis,Passerida,82.0,59.0,22.1,15.7,14.8,5.4,4.2
Anthus roseatus,Passerida,91.5,59.0,22.7,16.3,16.3,5.9,5.0
Anthus rufulus,Passerida,82.3,58.0,26.4,18.4,16.7,6.5,5.3
Anthus similis,Passerida,97.5,73.0,26.6,18.3,18.5,7.5,6.0
Anthus spinoletta,Passerida,92.0,63.0,24.6,18.1,17.2,5.7,4.5
Anthus spragueii,Passerida,83.0,57.0,21.9,18.1,14.2,6.2,4.8
Anthus sylvanus,Passerida,79.0,66.0,23.5,18.2,16.8,8.0,6.1
Anthus trivialis,Passerida,85.3,57.8,21.5,17.0,15.5,6.1,5.3
Anthus vaalensis,Passerida,93.0,63.0,27.5,17.5,18.1,7.2,6.1
Apalis alticola,Passerida,57.0,57.0,20.6,12.0,15.1,5.0,3.1
Apalis flavida,Passerida,53.0,50.0,19.5,10.7,14.1,5.1,3.7
Apalis goslingi,Passerida,46.3,37.7,14.9,8.2,12.6,4.4,2.6
Apalis thoracica,Passerida,57.0,50.0,21.7,12.5,14.6,4.9,3.6
Apalopteron familiare,Passerida,67.0,56.0,24.2,13.8,16.5,6.3,5.1
Aplonis cantoroides,Passerida,100.3,64.8,22.7,17.6,22.3,11.5,8.2
Aplonis crassa,Passerida,105.0,78.0,24.0,18.6,23.2,13.2,8.0
Aplonis magna,Passerida,122.0,167.0,28.0,23.6,29.1,14.4,9.7
Aplonis metallica,Passerida,108.2,96.0,22.9,20.5,24.7,12.4,7.9
Aplonis minor,Passerida,103.3,68.0,21.3,17.3,20.3,10.0,7.5
Aplonis opaca,Passerida,127.0,63.0,30.9,24.1,29.7,13.7,10.0
Aplonis panayensis,Passerida,106.7,72.8,23.0,19.3,23.0,12.2,8.8
Arachnothera crassirostris,Passerida,76.0,45.0,16.2,9.8,35.4,5.4,4.8
Arachnothera longirostra,Passerida,65.0,41.0,15.4,8.5,38.4,4.6,3.9
Arachnothera robusta,Passerida,87.0,54.0,17.8,10.4,56.9,7.1,6.3
Arremon aurantiirostris,Passerida,76.0,65.0,27.2,17.5,17.3,7.9,9.3
Arremon taciturnus,Passerida,81.0,63.0,24.0,21.0,16.9,7.7,8.5
Arremonops conirostris,Passerida,67.0,59.0,23.7,15.6,15.9,9.2,9.2
Artisornis metopias,Passerida,48.0,38.0,20.8,11.5,15.4,4.7,3.3
Auriparus flaviceps,Passerida,53.0,47.0,15.4,9.2,10.9,4.7,4.5
Baeolophus bicolor,Passerida,78.0,67.5,20.4,13.3,13.0,4.5,5.2
Baeolophus inornatus,Passerida,68.0,56.0,20.8,12.7,13.3,6.3,6.8
Baeolophus wollweberi,Passerida,64.0,56.0,16.7,10.3,9.9,5.6,5.0
Baeopogon clamans,Passerida,101.2,71.5,18.8,13.3,18.6,6.7,5.4
Basileuterus culicivorus,Passerida,64.0,57.0,17.0,10.5,13.1,6.8,4.9
Basilornis celebensis,Passerida,126.0,90.0,28.7,24.5,26.9,12.6,10.4
Bathmocercus rufus,Passerida,54.0,45.0,24.6,13.3,14.2,6.2,4.5
Bathmocercus winifredae,Passerida,59.0,49.0,24.1,15.0,15.9,5.5,4.6
Bleda eximius,Passerida,92.8,81.5,24.5,13.3,21.2,6.4,6.4
Bleda syndactylus,Passerida,109.9,92.0,24.5,14.9,26.6,8.0,7.8
Bombycilla cedrorum,Passerida,95.5,54.0,17.9,16.1,14.7,8.7,5.5
Bombycilla garrulus,Passerida,117.5,66.0,21.2,20.9,17.8,9.8,6.4
Bombycilla japonica,Passerida,105.0,51.0,17.3,18.6,16.0,9.3,6.7
Bradornis pallidus,Passerida,100.0,72.0,24.0,15.2,17.3,6.5,5.9
Bradypterus baboecala,Passerida,56.0,61.0,20.5,14.6,15.0,5.0,4.0
Bradypterus barratti,Passerida,62.0,57.0,24.8,18.3,15.8,6.6,4.2
Bradypterus carpalis,Passerida,72.0,73.0,30.0,21.1,18.6,6.8,5.4
Bradypterus cinnamomeus,Passerida,60.0,71.0,24.3,14.6,15.3,6.5,4.2
Bubalornis albirostris,Passerida,121.0,92.0,31.0,24.8,25.7,11.4,11.8
Buphagus erythrorhynchus,Passerida,111.0,80.0,21.6,16.1,19.4,10.5,7.3
Cacicus cela,Passerida,147.3,96.0,30.9,22.6,34.6,13.7,14.6
Cacicus chrysonotus,Passerida,147.7,132.0,34.0,22.9,30.7,13.5,13.2
Cacicus chrysopterus,Passerida,101.0,89.0,24.3,17.8,23.1,11.1,11.1
Cacicus haemorrhous,Passerida,142.0,99.0,31.1,23.3,34.3,15.6,15.4
Cacicus melanicterus,Passerida,142.5,119.0,33.3,23.3,39.7,12.4,13.1
Cacicus sclateri,Passerida,108.5,86.5,25.4,18.8,23.5,12.8,12.2
Cacicus solitarius,Passerida,133.0,121.5,35.3,31.8,35.8,11.5,15.0
Cacicus uropygialis,Passerida,128.0,89.3,27.3,20.5,28.1,12.0,12.4
Calamospiza melanocorys,Passerida,85.0,67.0,24.1,17.1,15.3,10.6,11.4
Calandrella brachydactyla,Passerida,94.0,60.0,20.4,13.4,13.3,6.9,6.5
Calandrella cinerea,Passerida,91.0,59.0,20.7,12.7,13.9,6.3,5.8
Callaeas cinereus,Passerida,155.5,168.0,67.4,43.5,32.6,16.6,18.3
Calochaetes coccineus,Passerida,93.5,61.5,23.2,15.4,18.4,9.6,9.8
Calyptocichla serina,Passerida,89.3,71.5,19.6,11.6,21.3,6.3,5.1
Camarhynchus heliobates,Passerida,71.0,39.0,20.9,16.6,16.2,6.8,7.6
Camarhynchus pallidus,Passerida,68.0,42.0,21.8,16.4,18.0,7.2,8.4
Camarhynchus parvulus,Passerida,61.0,37.0,19.3,13.6,12.2,6.3,7.4
Camarhynchus pauper,Passerida,70.0,41.0,22.1,14.7,13.7,7.2,8.7
Camarhynchus psittacula,Passerida,69.0,42.0,21.3,15.5,15.5,8.0,10.2
Camaroptera brachyura,Passerida,54.5,35.5,20.1,10.4,15.4,4.4,3.1
Camaroptera simplex,Passerida,65.5,49.0,21.8,13.4,14.6,5.2,4.2
Camaroptera superciliaris,Passerida,47.8,27.8,17.8,9.1,16.5,4.7,3.0
Campylorhynchus brunneicapillus,Passerida,85.0,80.0,28.0,19.0,26.6,8.2,6.6
Campylorhynchus griseus,Passerida,88.0,79.0,29.4,20.4,27.1,7.9,7.3
Campylorhynchus rufinucha,Passerida,74.0,64.0,24.9,17.2,26.6,7.6,5.6
Campylorhynchus turdinus,Passerida,85.7,76.7,24.7,14.1,24.2,6.0,5.4
Cardinalis cardinalis,Passerida,94.0,102.0,24.4,16.6,20.3,9.8,11.9
Cardinalis phoeniceus,Passerida,87.0,84.0,24.1,17.8,20.7,12.0,16.5
Cardinalis sinuatus,Passerida,92.0,98.5,24.8,17.7,17.1,11.9,13.6
Carduelis carduelis,Passerida,73.0,47.0,13.1,13.5,13.7,6.2,7.1
Carduelis chloris,Passerida,89.0,53.0,17.3,14.9,17.2,9.1,10.4
Carduelis citrinella,Passerida,74.0,49.0,14.7,12.1,9.7,5.6,5.6
Carduelis sinica,Passerida,81.0,51.0,17.1,15.1,14.4,8.1,8.8
Carduelis spinoides,Passerida,77.0,46.0,16.5,13.6,12.8,7.4,8.5
Carduelis spinus,Passerida,72.0,42.0,14.4,12.5,13.6,5.9,6.8
Carduelis tristis,Passerida,71.0,45.0,13.8,10.7,11.7,4.9,6.3
Carpodacus cassinii,Passerida,65.0,65.0,19.4,15.0,13.7,6.4,6.4
Carpodacus erythrinus,Passerida,83.0,48.0,19.1,16.2,13.3,8.4,8.9
Carpodacus mexicanus,Passerida,77.5,57.0,17.9,13.6,13.0,8.1,8.7
Carpodacus puniceus,Passerida,114.0,77.0,24.9,20.6,18.9,9.7,10.2
Carpodacus purpureus,Passerida,80.0,53.0,17.8,15.1,13.5,8.3,9.1
Carpodacus rodopeplus,Passerida,83.0,65.0,23.5,17.8,15.8,8.5,8.8
Carpodacus rubicilla,Passerida,121.0,86.0,24.1,18.4,18.8,10.0,11.5
Caryothraustes poliogaster,Passerida,85.0,67.0,20.7,14.5,19.6,11.3,12.2
Catharus bicknelli,Passerida,95.5,64.5,28.5,16.7,17.7,7.6,5.0
Catharus fuscescens,Passerida,100.0,72.0,29.4,16.8,16.5,4.7,4.3
Catharus guttatus,Passerida,92.0,68.0,30.1,17.6,15.4,5.4,4.7
Catharus minimus,Passerida,101.5,69.0,31.3,19.2,18.0,8.3,5.6
Catharus ustulatus,Passerida,99.0,68.0,27.6,16.5,15.3,8.3,4.8
Cercomela familiaris,Passerida,77.0,57.0,22.3,13.4,16.5,7.7,4.9
Cercomela melanura,Passerida,79.0,63.0,23.0,13.7,16.1,7.2,4.4
Certhia brachydactyla,Passerida,58.5,53.0,16.4,12.3,19.1,3.4,3.3
Certhia discolor,Passerida,67.5,72.0,16.8,14.9,16.8,4.5,3.4
Certhia familiaris,Passerida,65.2,60.3,15.0,12.4,17.9,4.0,3.4
Certhia himalayana,Passerida,70.0,63.0,17.5,14.3,21.8,4.0,3.6
Certhia nipalensis,Passerida,69.0,72.5,19.6,16.5,14.2,4.2,3.4
Cettia brunnifrons,Passerida,47.0,45.0,18.4,14.1,11.3,4.7,3.5
Cettia diphone,Passerida,66.0,65.0,25.2,14.5,15.3,5.5,4.6
Cettia fortipes,Passerida,56.0,52.0,22.3,12.9,13.5,6.3,4.2
Cettia vulcania,Passerida,49.0,52.0,21.1,11.7,14.0,5.0,4.2
Chaetops aurantius,Passerida,88.0,94.0,40.5,23.3,22.6,8.3,7.1
Chaetops frenatus,Passerida,83.5,98.0,35.2,22.4,23.9,9.3,7.4
Chamaea fasciata,Passerida,59.2,77.5,25.3,16.6,13.3,5.9,4.7
Chersophilus duponti,Passerida,106.0,62.0,25.5,18.0,27.4,9.1,7.7
Chloropeta gracilirostris,Passerida,91.0,75.5,20.5,14.1,20.3,8.3,6.1
Chlorophanes spiza,Passerida,69.8,47.6,17.6,11.4,17.9,6.2,5.0
Chlorophonia cyanea,Passerida,62.0,31.0,14.8,12.2,11.3,6.2,4.2
Chloropsis cyanopogon,Passerida,85.0,62.0,18.3,9.3,21.0,6.7,5.4
Chloropsis sonnerati,Passerida,97.0,70.0,18.8,11.0,25.5,7.7,6.7
Chrysomus icterocephalus,Passerida,85.7,65.7,25.2,17.5,20.9,8.4,8.5
Chrysomus ruficapillus,Passerida,91.5,69.0,26.0,20.0,19.7,8.6,8.1
Chrysothlypis chrysomelas,Passerida,64.0,45.0,17.3,10.4,15.5,6.8,5.5
Cichladusa arquata,Passerida,85.0,84.0,28.9,18.5,20.3,8.3,6.8
Cichladusa guttata,Passerida,81.0,74.0,25.8,15.7,19.6,8.1,5.5
Cinclocerthia ruficauda,Passerida,102.0,85.5,30.5,22.3,40.4,8.6,7.3
Cinclus cinclus,Passerida,91.7,48.0,28.4,21.0,20.9,6.9,5.4
Cinclus leucocephalus,Passerida,82.3,44.8,27.9,20.2,18.2,6.4,5.9
Cinclus mexicanus,Passerida,90.0,45.5,30.9,22.1,22.1,5.8,5.6
Cinclus pallasii,Passerida,105.5,56.5,31.9,24.5,26.1,7.4,6.7
Cinclus schulzi,Passerida,79.0,41.0,27.5,18.2,17.8,6.2,5.1
Cinnyricinclus femoralis,Passerida,100.5,74.0,23.1,17.6,16.8,8.6,6.4
Cinnyricinclus leucogaster,Passerida,105.0,60.7,22.0,16.6,19.1,9.7,6.7
Cinnyricinclus sharpii,Passerida,100.0,66.0,21.0,17.3,15.3,8.9,6.1
Cissopis leverianus,Passerida,112.0,128.0,25.8,16.5,20.0,9.8,10.3
Cisticola cantans,Passerida,55.0,48.0,24.2,13.9,16.0,5.9,4.7
Cisticola chubbi,Passerida,61.0,61.0,24.5,16.8,15.7,6.1,5.0
Cisticola fulvicapilla,Passerida,47.0,35.0,16.7,9.8,11.6,4.2,4.1
Cisticola galactotes,Passerida,63.0,48.0,23.3,14.6,15.5,5.5,4.9
Cisticola nanus,Passerida,44.0,39.0,17.1,11.3,10.4,4.6,3.5
Cistothorus palustris,Passerida,49.0,39.0,21.1,14.2,16.5,4.8,3.6
Clypicterus oseryi,Passerida,209.0,149.0,40.9,31.0,48.2,19.5,24.5
Cnemophilus macgregorii,Passerida,107.3,98.5,41.0,24.4,25.7,12.2,8.4
Coccothraustes coccothraustes,Passerida,107.0,60.0,21.5,20.1,24.5,15.0,16.4
Coccothraustes vespertinus,Passerida,110.0,63.0,20.1,17.8,22.9,14.0,14.5
Coereba flaveola,Passerida,58.0,36.7,16.8,10.9,15.5,4.9,5.0
Conirostrum bicolor,Passerida,63.0,46.0,17.7,8.7,13.7,7.0,5.4
Copsychus malabaricus,Passerida,97.0,127.0,24.9,16.9,21.4,5.8,5.5
Copsychus saularis,Passerida,104.0,91.0,29.3,16.7,24.2,6.6,6.2
Coryphospingus pileatus,Passerida,66.0,50.0,18.5,12.3,14.4,7.1,7.2
Cosmopsarus regius,Passerida,129.5,170.0,32.4,21.3,24.2,10.0,7.0
Cosmopsarus unicolor,Passerida,125.8,164.8,34.5,21.5,22.9,10.4,8.1
Cossypha anomala,Passerida,81.0,61.0,31.6,20.2,18.1,7.5,5.5
Cossypha caffra,Passerida,84.0,72.0,30.3,17.8,18.9,6.8,5.1
Cossypha cyanocampter,Passerida,80.0,65.0,27.7,16.8,18.3,8.2,6.8
Cossypha niveicapilla,Passerida,95.0,86.0,26.9,17.0,18.7,9.0,6.0
Creatophora cinerea,Passerida,115.0,71.5,28.9,24.2,26.5,13.0,8.5
Creurgops verticalis,Passerida,81.0,67.5,20.6,13.4,18.5,9.4,8.0
Criniger barbatus,Passerida,105.8,88.5,22.6,13.0,22.8,7.5,6.8
Criniger calurus,Passerida,85.3,76.0,19.4,12.5,19.6,6.6,5.3
Cryptospiza reichenovii,Passerida,57.0,41.0,17.5,15.4,12.3,6.2,7.0
Cryptospiza salvadorii,Passerida,61.0,41.0,17.6,15.3,11.9,6.3,6.5
Curaeus curaeus,Passerida,125.5,107.0,27.8,20.8,33.1,10.4,13.0
Cyanerpes caeruleus,Passerida,56.0,28.5,14.3,9.8,22.1,5.1,4.1
Cyanerpes cyaneus,Passerida,62.0,36.0,14.5,10.7,21.1,6.7,4.8
Cyanocompsa cyanoides,Passerida,78.0,68.0,20.3,14.4,20.3,9.9,12.6
Cyornis banyumas,Passerida,78.0,62.0,19.9,15.1,15.7,9.0,4.8
Cyornis tickelliae,Passerida,76.0,60.0,18.0,12.6,15.4,6.7,4.5
Cyornis turcosus,Passerida,74.0,55.0,17.5,10.7,16.2,6.8,3.9
Cyphorhinus arada,Passerida,66.0,31.0,23.3,15.7,22.6,4.8,4.2
Cyphorhinus phaeocephalus,Passerida,57.0,25.0,21.3,12.8,17.6,4.6,3.9
Dacnis cayana,Passerida,63.7,43.3,16.1,9.7,15.2,5.9,4.8
Dacnis lineata,Passerida,59.5,41.5,14.3,9.0,13.9,4.9,4.0
Delichon urbicum,Passerida,114.0,54.0,9.8,11.7,9.8,7.4,4.3
Dendroica adelaidae,Passerida,50.0,42.0,18.6,9.6,13.5,5.5,3.7
Dendroica caerulescens,Passerida,64.0,51.0,18.5,10.8,13.0,3.8,3.3
Dendroica cerulea,Passerida,63.0,43.0,16.4,10.1,13.0,3.8,3.6
Dendroica coronata,Passerida,71.5,55.0,18.5,13.5,13.2,5.8,4.4
Dendroica discolor,Passerida,56.0,45.5,19.4,11.9,12.2,4.5,3.5
Dendroica dominica,Passerida,65.0,51.0,17.3,12.3,16.5,3.5,3.5
Dendroica fusca,Passerida,65.0,48.0,17.5,11.3,13.5,3.8,3.5
Dendroica graciae,Passerida,63.0,47.0,17.1,10.6,12.4,5.0,3.7
Dendroica magnolia,Passerida,58.5,45.0,17.1,11.3,13.0,5.2,3.9
Dendroica nigrescens,Passerida,61.0,50.0,17.5,10.2,12.6,5.5,3.9
Dendroica pensylvanica,Passerida,61.5,48.5,17.7,10.4,13.1,4.9,4.0
Dendroica petechia,Passerida,61.6,46.2,19.7,11.6,13.8,5.2,4.0
Dendroica pharetra,Passerida,63.0,52.0,18.7,10.3,14.6,5.4,4.3
Dendroica pinus,Passerida,75.0,55.0,19.9,14.5,16.1,7.2,6.0
Dendroica virens,Passerida,62.0,47.0,17.5,10.1,13.2,5.6,4.5
Dendronanthus indicus,Passerida,80.0,67.0,22.2,15.4,17.3,4.1,4.4
Dicaeum agile,Passerida,61.0,30.0,12.9,7.7,11.6,5.5,4.1
Dicaeum geelvinkianum,Passerida,51.0,25.0,10.6,7.5,11.0,5.0,3.6
Dicaeum trochileum,Passerida,51.5,24.5,13.2,8.4,12.4,5.7,4.1
Dinemellia dinemelli,Passerida,117.0,72.5,30.6,21.7,25.4,12.2,13.7
Dioptrornis chocolatinus,Passerida,87.0,71.0,22.7,15.0,17.0,8.1,5.9
Diuca diuca,Passerida,89.0,73.0,22.3,14.3,17.5,8.6,9.7
Dives dives,Passerida,120.0,114.0,38.5,25.1,30.6,11.7,13.4
Dolichonyx oryzivorus,Passerida,93.0,61.0,25.8,22.5,16.1,8.4,8.8
Dromaeocercus brunneus,Passerida,53.0,98.0,19.8,16.4,13.1,5.5,4.1
Dulus dominicus,Passerida,85.0,65.3,23.8,25.8,17.0,9.2,6.7
Dumetella carolinensis,Passerida,90.0,93.0,27.9,19.0,20.5,4.6,5.3
Eminia lepida,Passerida,72.0,65.0,25.6,18.7,20.1,7.0,5.1
Empidornis semipartitus,Passerida,93.0,86.0,21.1,13.9,15.8,8.1,5.5
Enicurus leschenaulti,Passerida,104.0,113.0,27.9,16.7,24.5,5.3,4.9
Enicurus ruficapillus,Passerida,94.0,77.0,27.2,14.9,23.0,5.5,4.8
Enicurus schistaceus,Passerida,98.0,122.0,26.2,17.3,20.3,7.4,4.9
Enicurus scouleri,Passerida,75.0,43.0,25.5,15.9,14.3,5.3,4.2
Eophona personata,Passerida,110.0,77.0,23.2,19.8,27.5,15.3,16.9
Eopsaltria australis,Passerida,79.5,62.0,21.1,18.1,14.3,5.8,4.7
Eremomela badiceps,Passerida,52.0,37.0,17.6,10.2,14.1,6.5,4.3
Eremomela icteropygialis,Passerida,56.0,32.0,17.8,9.9,11.4,4.3,3.8
Eremophila alpestris,Passerida,101.0,66.0,21.5,11.7,14.9,8.1,6.1
Eremopsaltria mongolicus,Passerida,93.0,54.0,17.3,14.9,12.7,7.1,8.8
Eremopterix leucotis,Passerida,78.0,46.0,16.4,10.6,12.8,6.5,7.1
Erithacus rubecula,Passerida,70.0,55.0,25.8,14.3,13.9,6.3,3.9
Erythrocercus mccallii,Passerida,49.0,43.2,15.6,7.7,10.8,4.8,2.9
Erythrura cyaneovirens,Passerida,56.0,38.0,16.5,13.4,12.0,6.3,7.1
Erythrura prasina,Passerida,58.0,60.0,15.0,12.6,14.9,7.3,8.0
Estrilda astrild,Passerida,50.0,46.0,14.4,11.4,10.4,5.9,6.3
Estrilda atricapilla,Passerida,46.0,43.0,15.0,12.7,10.2,5.7,5.7
Estrilda erythronotos,Passerida,50.0,52.0,14.0,12.2,11.2,5.4,5.5
Estrilda melpoda,Passerida,46.0,39.0,13.6,12.8,10.7,5.7,6.1
Estrilda nonnula,Passerida,48.0,50.0,15.1,12.3,9.7,5.8,6.7
Estrilda quartinia,Passerida,43.0,33.0,12.4,10.5,8.8,4.4,4.7
Eumyias thalassinus,Passerida,78.0,62.0,17.7,13.9,13.9,8.3,5.7
Euneornis campestris,Passerida,69.0,49.0,17.9,12.8,15.9,7.7,6.9
Eupetes macrocerus,Passerida,95.7,128.3,42.8,22.2,31.7,9.4,7.0
Euphagus cyanocephalus,Passerida,123.0,94.0,31.4,20.8,22.0,9.4,8.8
Euphonia anneae,Passerida,62.0,35.0,16.7,11.6,11.9,6.9,6.5
